#{"t_start": 1662491356.838271, "env_id": "zinc-coating-v0"}
r,l,t
-3079.533172,2500,0.562899
-3025.334022,2500,7.128402
-4131.750929,2500,13.588763
-2849.628475,2500,20.133783
-2861.64718,2500,31.156368
-1778.206871,2500,41.920697
-1479.505276,2500,52.77174
-2499.657898,2500,63.490718
-1420.459476,2500,73.985775
-1345.754805,2500,84.49193
-1310.70099,2500,95.070985
-3669.812719,2500,105.783619
-1719.615596,2500,116.332808
-1109.848551,2500,126.952219
-1550.977295,2500,137.38006
-1383.291912,2500,148.022133
-2298.015315,2500,158.505854
-2971.059141,2500,168.998592
-2805.300202,2500,179.434211
-3628.884079,2500,189.930912
-3194.650029,2500,200.344798
-3119.805361,2500,210.785404
-2088.641682,2500,221.390378
-1120.101222,2500,231.82006
-3100.012578,2500,242.273925
-2231.327119,2500,252.72159
-2201.653906,2500,263.109301
-1687.802761,2500,273.560263
-3002.790783,2500,284.011004
-2049.720273,2500,294.584498
-1461.061808,2500,305.056937
-1974.663249,2500,315.51622
-3101.740753,2500,326.049007
-1582.889251,2500,336.482531
-2573.11219,2500,347.249351
-535.801988,2500,357.757015
-2193.259365,2500,368.371157
-1354.967964,2500,378.949318
-3413.52081,2500,389.430648
-3522.717143,2500,400.078306
-1692.666309,2500,410.573533
-2961.536954,2500,421.069951
-1853.329943,2500,431.593397
-2240.45648,2500,441.982225
-1215.877772,2500,452.554888
-1538.397952,2500,463.059894
-2531.976786,2500,473.726478
-1983.200662,2500,484.413279
-1467.772616,2500,494.904451
-2957.225747,2500,505.488996
-1285.925871,2500,516.063804
-1658.671034,2500,526.63794
-3647.300983,2500,537.03005
-1973.982324,2500,547.456024
-3622.042436,2500,557.812051
-2183.991615,2500,568.275648
-1371.266605,2500,578.795884
-2577.542482,2500,589.293382
-3142.253344,2500,599.734954
-2204.514014,2500,610.255855
-2160.459473,2500,620.727601
-1520.906226,2500,631.104653
-921.136938,2500,641.495235
-2038.099339,2500,652.057038
-2566.928558,2500,662.569857
-1351.65697,2500,673.078117
-1993.304774,2500,683.621367
-1496.310926,2500,694.024209
-2532.381768,2500,704.701077
-1635.448437,2500,715.323676
-1070.028962,2500,726.034094
-1901.499447,2500,736.669442
-1740.111035,2500,747.195033
-1687.695501,2500,757.837768
-1743.885074,2500,768.481009
-2867.6039,2500,779.054551
-1460.713525,2500,789.725041
-4009.792248,2500,800.201347
-1120.074606,2500,810.738483
-1784.42288,2500,821.229082
-1287.395595,2500,831.794958
-1481.947285,2500,842.345724
-1124.451105,2500,852.879333
-1222.640784,2500,863.328228
-1260.501877,2500,873.897712
-1706.994658,2500,884.402968
-2436.373872,2500,894.935318
-2352.085988,2500,905.272624
-1628.103362,2500,915.745367
-3936.027467,2500,926.164591
-3412.845704,2500,936.584722
-3054.642025,2500,947.232276
-2114.144756,2500,957.889342
-1653.069832,2500,968.275045
-1531.301179,2500,978.742596
-3148.012019,2500,989.221127
-770.232087,2500,999.733305
-734.424833,2500,1010.387224
-756.969388,2500,1020.965677
-1082.457247,2500,1031.41249
-1643.084759,2500,1042.075349
-1470.953191,2500,1052.491956
-2154.047707,2500,1062.911711
-2067.711136,2500,1073.441089
-1529.169634,2500,1083.953193
-929.31358,2500,1094.410692
-2060.658439,2500,1104.8975
-2067.060809,2500,1115.386458
-4428.181866,2500,1126.032219
-2804.804545,2500,1136.545053
-1758.677059,2500,1147.159402
-1022.402268,2500,1157.512923
-3019.161574,2500,1168.072671
-1415.275037,2500,1178.394511
-2628.615935,2500,1188.910795
-1603.094987,2500,1199.479627
-2225.573437,2500,1209.907309
-1855.059918,2500,1220.173768
-1859.314837,2500,1230.642484
-1615.293953,2500,1240.999017
